SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
533,2,0.400,24,15,0.019,0,0,0,0,0,0,0.08,1.301,0.428,0.15,3.48,13,51.4,25.3,22.7,31,1.799,42,3,5,14,1,1
534,1,0.800,36,15,0.028,0,0,0,0.12,0.069,7,0.12,1,0.35,0.085,10,20,16.6,63.2,53.2,36,8.3,39,2,4,14.500,1,1
536,2,0.800,48,10,0.02,0.5,0.052,0.023,0.055,0.05,14,0.1,0.45,0.22,0.039,5.25,11.4,86.7,135,108.4,54,1.8,53,4,4.500,16.500,1,1
537,2,0.500,24,15,0.024,0,0,0,0.413,0.058,6,0.1,1.675,0.274,0.114,5.532,12.6,41.8,27.3,21.3,30,2.298,40,11,3,12.500,1,1
538,1,0.200,24,15,0.01,0,0,0,0.171,0.013,9,0,0,0,0,0,0,0,0,0,26,1.96,0,0,0,0,0,0
539,2,0.800,36,10,0.026,0.8,0.168,0.028,0.198,0.091,7,0.15,1.75,1.685,0.435,15.765,6.9,59.4,26.7,28.9,36,3.75,35,30,4,14,1,1
540,1,0.200,12,9,0.002,0,0,0,0.19,0.07,0,0.15,0.4,0.01,0.005,3.25,25.8,2.2,49.4,26.9,29,2.145,35,4,4,7,0,0
542,1,0.350,24,15,0.017,0.2,0.108,0.01,0.52,0.05,5,0.15,0.55,0.3,0.05,4,12,73.1,63.5,34.6,41,0.04,38,0,5,12.500,0,0
543,1,0.100,24,15,0.005,0,0,0,0.06,0.03,14,0.1,0.3,0.02,0,3.6,10,16.2,31.3,20.8,35,0,29,1,4,12,0,0
544,1,0.100,12,9,0.001,0,0,0,0.11,0.063,7,0.05,0.2,0,0,3.375,22.4,1.2,50,27.8,35,1.84,37,3,3.500,7,0,0
545,1,0.200,24,15,0.01,0,0,0,0.348,0.03,11,0.02,1.056,0.165,0.154,3,11.9,32.6,18.7,13.9,26,2.174,45,1,2,13,1,1
546,1,0.200,12,9,0.002,0,0,0,0.21,0.069,18,0.15,0.38,0.01,0.005,2.85,28.9,2.2,52,26.9,30,1.445,31,2,3.500,7,0,0
548,1,0.300,24,15,0.015,0,0,0,0.21,0.036,4,0.04,0.575,0.025,0.017,4.3,10,40.6,51.5,36,35,6.369,36,4,4,12,1,1
549,1,0.100,12,9,0.001,0,0,0,0.1,0.048,13,0.1,0.14,0.005,0.003,2.5,23.2,1.6,70.4,29.2,28,1.742,27,1,3.500,0,0,0
550,2,0.400,3,15,0.005,1.6,1.217,0.06,0.188,0,9,0.15,2.32,0.425,0.155,7.5,16.8,62.4,15.4,55.2,40,8.212,36,12,4,16.500,1,1
551,1,0.500,24,15,0.024,0,0,0,0.3,0.06,6,0.1,0.8,0.35,0.01,5.5,13.1,40.4,43.9,32.5,23,5.89,34,7,4,12.500,1,1
552,1,0.300,24,15,0.015,0,0,0,0.125,0.03,9,0.05,0.6,0.1,0.028,6.5,5.5,48.5,44.6,35.4,43,3.87,39,1,5,14.500,1,1
554,1,0.300,24,15,0.015,0,0,0,0.15,0.05,5,0.05,0.5,0.15,0,3.5,17.2,29.1,46.2,35.3,54,6.35,47,4,4,11.500,1,1
555,1,0.300,24,15,0.015,0,0,0,0.6,0.046,5,0.15,0.86,0.37,0.165,4.568,12,31.8,28.2,16.5,49,2.25,38,3,2,14,1,1
556,1,0.500,24,15,0.024,0,0,0,0.2,0.032,7,0.05,0.3,0.1,0.02,7.2,5.4,74.9,131.6,79.4,35,1.93,41,1,4,12,1,1
557,1,0.200,24,15,0.01,0,0,0,0.15,0.02,8,0.04,0.45,0.18,0.02,2,15,38.8,32.8,25,35,0.65,42,4,4,14,1,1
558,1,0.200,24,15,0.01,0,0,0,0.06,0.025,0,0.05,0.074,0.05,0,1.5,20,38.8,161.1,85.4,45,0,45,0,2,13,0,0
559,1,0.500,24,15,0.024,0.2,0.08,0.01,0.1,0.07,8,0.1,0.8,0.3,0.03,7,12,48.8,54.2,45.7,31,2,42,4,4,15,1,1
560,2,0.500,24,14,0.024,0.2,0.023,0.01,0.127,0.059,17,0.025,0.695,0.205,0.001,8.498,8.3,57.5,58.1,50.1,32,1.547,46,10,3,14.500,1,1
562,1,0.400,24,15,0.019,0,0,0,0.15,0.043,9,0.05,0.5,0.2,0,3.6,15,43.1,57.1,44.4,39,2.95,35,1,5,13.500,1,1
563,1,0.200,24,15,0.01,0,0,0,0.15,0.022,23,0.03,0.3,0.1,0,3.6,7.3,44.1,50,34.5,40,4.4,33,2,4,15,1,1
564,1,0.150,24,15,0.007,0,0,0,0.025,0.03,6,0.2,0.4,0.06,0.05,3,12,24.2,36.6,23.6,29,0.02,34,1,3,13,1,1
565,1,0.200,24,15,0.01,0,0,0,0.05,0.04,23,0.2,0.5,0.6,0.3,5,9.6,24.2,25,19.1,37,0,33,0,4,0,0,0
566,1,0.200,24,15,0.01,0,0,0,0.15,0.027,8,0.02,0.25,0.05,0,2.4,13.7,35.5,66.7,42.6,36,3.625,32,1,4,13,1,1
568,1,0.400,24,15,0.019,0,0,0,0.2,0.046,9,0.1,0.5,0.15,0.1,7.2,7.7,41.8,72.7,47.1,28,1.65,50,1,4,13.500,1,1
569,1,0.200,24,15,0.01,0,0,0,0.05,0.018,9,0.1,0.5,0.05,0,3.6,5.9,54.7,36.4,28.6,36,1.8,38,2,4,14,1,1
570,2,0.300,24,14,0.014,0.2,0.049,0.01,0.259,0.045,7,0.135,0.505,0.139,0.005,4.698,9.7,50.8,78.2,50,34,5.719,45,20,4,13,1,1
571,1,0.150,24,15,0.007,0,0,0,0.35,0.024,5,0.03,0.25,0.04,0,3,9.5,30.5,51.7,22.4,29,14.4,31,1,4,11.500,1,1
573,2,0.200,24,15,0.01,0,0,0,0.24,0.023,0,0.06,0.448,0.127,0.047,3.11,8.8,42.3,37.9,34,43,7.928,35,12,5,12.500,1,1
576,1,0.500,24,15,0.024,0,0,0,0.4,0.05,9,0.15,0.5,0.15,0,7.2,8.3,48.5,76.9,41.7,46,2.85,47,1,5,16.500,1,1
577,2,0.800,36,15,0.028,5.37,3.803,0,0.263,0.095,9,0.2,0.771,1.44,0.01,17.247,6.6,29.2,36.4,32,50,33.234,31,16,5,16.500,1,1
578,1,0.150,24,15,0.007,0,0,0,0.15,0.02,5,0.02,0.3,0.08,0.01,2.4,10.2,35.7,40.5,27.8,26,0.003,38,1,4,11.500,1,1
579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,1,0.250,24,15,0.012,0,0,0,0.15,0.031,5,0.1,0.4,0.08,0,2.7,13,41.4,52.1,34.3,37,0.002,36,1,4,12,1,1
581,1,0.100,24,10,0.005,0,0,0,0.02,0.025,17,0.01,0.571,0.02,0,2.17,13.8,18.5,16.9,16.1,38,1.255,30,1,5,12,1,1
582,1,0.200,24,15,0.01,0,0,0,0.02,0.023,0,0.015,0.15,0.02,0.015,2.8,10,41.6,129,105.3,34,0,32,1,4,12.500,1,1
584,1,0.600,36,15,0.021,0,0,0,0.3,0.065,10,0.1,0.6,0.15,0.024,6,13.1,31.9,82.6,53.3,36,2.676,36,1,4,15,1,1
585,1,0.200,24,15,0.01,0,0,0,0.07,0.025,8,0.05,0.25,0.1,0.01,2.8,10,41.6,58.8,43.5,35,1.94,33,1,5,12,1,1
586,1,0.500,24,9,0.023,0,0,0,0.1,0.048,16,0.1,0.85,0.1,0,4.8,12,47.6,52.6,43.5,30,3,37,8,4,12.500,1,1
587,2,0.800,24,14,0.038,2.8,1.71,0.072,0.231,0.199,9,0.5,6.071,8.325,0.75,48.398,4.9,55.6,7.4,17.5,49,33.785,44,16,5,15.500,1,1
588,1,0.200,24,15,0.01,0,0,0,0.02,0.025,8,0.05,0.3,0.02,0.05,2,15,38.8,74.1,58.8,46,0.74,47,0,4,12,1,1
589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,1,0.200,24,15,0.01,0,0,0,0.2,0.03,0,0.09,0.5,0.1,0.08,5.5,6.5,32.3,38.5,24.7,27,1,28,1,3.500,13.500,0,0
591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,2,0.500,24,14,0.024,0.3,0.067,0.015,0.112,0.07,8,0.075,0.719,0.25,0.02,7.138,11.8,55.3,59.8,50,49,9.157,40,9,5,15.500,1,1
597,1,0.400,24,15,0.019,0,0,0,0.8,0.048,1809,0.1,0.34,0.2,0.01,7.5,7,44.3,75.5,28,36,1.1,45,1,4,14.500,1,1
598,1,0.800,36,9,0.025,0,0,0,0.1,0.06,12,0.4,1.5,0.2,0.1,8,9,42.4,50,35.6,32,1.7,33,4,4.500,12.500,1,1
600,2,0.300,24,15,0.015,0.2,0.068,0.01,0.2,0.038,6,0.05,0.35,0.125,0.015,4,11.4,64.3,80,51.8,39,2.7,44,1,4,13,1,1
